"TIME","GEO","GEO_LABEL","UNIT","AGE","SEX","SEVERITY","Value","Flag and Footnotes"
"2014","AT","Austria","Number","Total","Total","Fatal","119",""
"2008","PL","Poland","Number","Total","Total","Fatal","452",""
"2009","PL","Poland","Number","Total","Total","Fatal","334",""
"2010","PL","Poland","Number","Total","Total","Fatal","366",""
"2011","PL","Poland","Number","Total","Total","Fatal","344",""
"2012","PL","Poland","Number","Total","Total","Fatal","303",""
"2013","PL","Poland","Number","Total","Total","Fatal","227",""
"2014","PL","Poland","Number","Total","Total","Fatal","225",""
"2008","PT","Portugal","Number","Total","Total","Fatal","208",""
"2009","PT","Portugal","Number","Total","Total","Fatal","204",""
"2010","PT","Portugal","Number","Total","Total","Fatal","197",""
"2011","PT","Portugal","Number","Total","Total","Fatal","180",""
"2012","PT","Portugal","Number","Total","Total","Fatal","162",""
"2013","PT","Portugal","Number","Total","Total","Fatal","145",""
"2014","PT","Portugal","Number","Total","Total","Fatal","148",""
"2008","RO","Romania","Number","Total","Total","Fatal","450",""
"2009","RO","Romania","Number","Total","Total","Fatal","370",""
"2010","RO","Romania","Number","Total","Total","Fatal","342",""
"2011","RO","Romania","Number","Total","Total","Fatal","273",""
"2012","RO","Romania","Number","Total","Total","Fatal","257",""
"2013","RO","Romania","Number","Total","Total","Fatal","252",""
"2014","RO","Romania","Number","Total","Total","Fatal","253",""
"2008","SI","Slovenia","Number","Total","Total","Fatal","27",""
"2009","SI","Slovenia","Number","Total","Total","Fatal","26",""
"2010","SI","Slovenia","Number","Total","Total","Fatal","24",""
"2011","SI","Slovenia","Number","Total","Total","Fatal","19",""
"2012","SI","Slovenia","Number","Total","Total","Fatal","21",""
"2013","SI","Slovenia","Number","Total","Total","Fatal","18",""
"2014","SI","Slovenia","Number","Total","Total","Fatal","20",""
"2008","SK","Slovakia","Number","Total","Total","Fatal","74",""
"2009","SK","Slovakia","Number","Total","Total","Fatal","42",""
"2010","SK","Slovakia","Number","Total","Total","Fatal","42",""
"2011","SK","Slovakia","Number","Total","Total","Fatal","37",""
"2012","SK","Slovakia","Number","Total","Total","Fatal","49",""
"2013","SK","Slovakia","Number","Total","Total","Fatal","52",""
"2014","SK","Slovakia","Number","Total","Total","Fatal","39",""
"2008","FI","Finland","Number","Total","Total","Fatal","25",""
"2009","FI","Finland","Number","Total","Total","Fatal","28",""
"2010","FI","Finland","Number","Total","Total","Fatal","33",""
"2011","FI","Finland","Number","Total","Total","Fatal","29",""
"2012","FI","Finland","Number","Total","Total","Fatal","32",""
"2013","FI","Finland","Number","Total","Total","Fatal","21",""
"2014","FI","Finland","Number","Total","Total","Fatal",":",""
"2008","SE","Sweden","Number","Total","Total","Fatal","59",""
"2009","SE","Sweden","Number","Total","Total","Fatal","37",""
"2010","SE","Sweden","Number","Total","Total","Fatal","48",""
"2011","SE","Sweden","Number","Total","Total","Fatal","50",""
"2012","SE","Sweden","Number","Total","Total","Fatal","37",""
"2013","SE","Sweden","Number","Total","Total","Fatal","31",""
"2014","SE","Sweden","Number","Total","Total","Fatal","36",""
"2008","UK","United Kingdom","Number","Total","Total","Fatal","139",""
"2009","UK","United Kingdom","Number","Total","Total","Fatal","133",""
"2010","UK","United Kingdom","Number","Total","Total","Fatal","158",""
"2011","UK","United Kingdom","Number","Total","Total","Fatal","172",""
"2012","UK","United Kingdom","Number","Total","Total","Fatal","149",""
"2013","UK","United Kingdom","Number","Total","Total","Fatal","235",""
"2014","UK","United Kingdom","Number","Total","Total","Fatal","207",""
"2008","IS","Iceland","Number","Total","Total","Fatal",":",""
"2009","IS","Iceland","Number","Total","Total","Fatal",":",""
"2010","IS","Iceland","Number","Total","Total","Fatal",":",""
"2011","IS","Iceland","Number","Total","Total","Fatal","0",""
"2012","IS","Iceland","Number","Total","Total","Fatal","0",""
"2013","IS","Iceland","Number","Total","Total","Fatal","0",""
"2014","IS","Iceland","Number","Total","Total","Fatal",":",""
"2008","NO","Norway","Number","Total","Total","Fatal","42",""
"2009","NO","Norway","Number","Total","Total","Fatal","39",""
"2010","NO","Norway","Number","Total","Total","Fatal","41",""
"2011","NO","Norway","Number","Total","Total","Fatal","34",""
"2012","NO","Norway","Number","Total","Total","Fatal","29",""
"2013","NO","Norway","Number","Total","Total","Fatal","36",""
"2014","NO","Norway","Number","Total","Total","Fatal","55",""
"2008","CH","Switzerland","Number","Total","Total","Fatal","81",""
"2009","CH","Switzerland","Number","Total","Total","Fatal","63",""
"2010","CH","Switzerland","Number","Total","Total","Fatal","68",""
"2011","CH","Switzerland","Number","Total","Total","Fatal","49",""
"2012","CH","Switzerland","Number","Total","Total","Fatal","60",""
"2013","CH","Switzerland","Number","Total","Total","Fatal","66",""
"2014","CH","Switzerland","Number","Total","Total","Fatal","64",""
